Sample ID,PX,PY
r768,118.021091,170.885779
r769,121.385454,60.4905295
r770,148.95682,384.269176
r771,119.275151,438.172313
r772,43.434718,260.287945
r773,111.264234,268.140171
r774,67.5201386,314.139322
r775,194.005814,261.110086
r776,22.6421698,88.578209
r777,240.525862,242.744819
r778,236.054896,229.665627
r779,200.996927,406.3868
r780,248.461236,210.060863
r781,170.140902,198.071557
r782,177.428125,52.359349
r783,111.530148,409.663987
r784,35.7453525,151.497609
r785,185.811404,193.325752
r786,50.5961282,185.810064
r787,89.916444,311.174163
r788,171.733014,268.720986
r789,113.605759,83.287988
r790,36.9021584,163.818158
r791,227.257503,258.426063
r792,112.44565,339.174526
r793,180.982432,391.72521
r794,25.0871125,330.255992
r795,162.854903,202.741759
r796,86.297879,28.59654
r797,115.790457,398.068092
r798,54.9957031,72.5160752
r799,217.779615,438.658625
r800,53.6983718,47.1415981
r801,238.171404,367.291399
r802,235.981955,169.520993
r803,66.1638209,188.768462
r804,147.749663,426.176469
r805,145.309938,246.140543
r806,58.4805754,284.793633
r807,144.696084,159.511105
r808,73.8808422,63.2270776
r809,87.562878,433.835165
r810,140.885019,301.151309
r811,58.1505557,20.6486048
r812,240.951377,173.672592
r813,139.76707,243.538525
r814,167.682579,253.235563
r815,198.54341,248.41698
r816,168.036371,250.900645
r817,243.233851,265.49477
r818,39.2908319,46.3313613
r819,26.7490859,45.0479617
r820,149.966832,396.888185
r821,77.8886165,265.9472
r822,174.761005,366.475172
r823,110.656832,261.260558
r824,31.2448848,160.852279
r825,31.5537198,396.284962
r826,251.082246,48.9180163
r827,74.3520201,313.871065
r828,22.7344567,42.9707445
r829,72.4341532,384.422281
r830,33.4250165,365.621055
r831,76.3933152,91.045902
r832,116.647105,362.689149
r833,23.4330647,209.208774
r834,106.82316,125.8359
r835,160.279938,261.93101
r836,165.390497,307.125991
r837,83.292467,275.054454
r838,182.035682,302.561594
r839,244.593492,122.4377
r840,20.8619375,420.228114
r841,208.873082,410.79018
r842,213.663955,313.815277
r843,37.5292123,133.5453
r844,156.079833,428.808381
r845,149.405803,42.3566423
r846,53.0420372,271.458938
r847,86.319836,295.662092
r848,104.442442,344.519343
r849,215.073257,333.669674
r850,61.1699235,373.474508
r851,145.078902,367.528011
r852,203.509482,216.920759
r853,89.301355,92.24327
r854,124.826796,432.843403
r855,180.668182,188.821359
r856,28.8617077,341.787849
r857,154.555124,58.6471294
r858,243.771977,396.070755
r859,124.309398,356.36902
r860,244.695828,284.321808
r861,254.792631,287.10573
r862,182.422949,398.764623
r863,91.584535,364.223262
r864,69.9808147,229.552432
r865,96.535143,325.968866
r866,225.049992,348.001448
r867,34.6543776,134.132334
r868,63.6910653,320.123997
r869,136.120784,259.941587
r870,101.188058,394.428616
r871,215.207048,31.8310477
r872,228.903795,305.179117
r873,24.5987069,310.849569
r874,217.939564,259.836854
r875,116.304439,370.154943
r876,181.293989,143.819615
r877,48.4813317,100.046321
r878,134.341841,91.020118
r879,242.081591,26.8622579
r880,157.961442,68.1587586
r881,239.060379,46.8383885
r882,201.272462,358.286686
r883,171.439982,75.7881112
r884,210.660956,57.8963519
r885,241.651151,394.931543
r886,59.4725143,328.215034
r887,66.2921466,230.583419
r888,43.4342397,136.175529
r889,218.986255,65.3163681
r890,213.40735,375.751039
r891,87.024797,318.532522
r892,127.767099,358.205669
r893,170.21089,26.0952112
r894,109.02114,126.523005
r895,111.756548,189.026752
r896,239.47541,159.274279
r897,113.671461,384.188327
r898,36.8705023,93.492049
r899,189.801587,173.845334
r900,186.319235,31.6728236
r901,43.0753496,399.733837
r902,28.8567751,373.251923
r903,116.225629,424.753556
r904,22.7689341,278.704404
r905,156.293844,71.0033772
r906,246.787982,408.652983
r907,102.392523,72.3326083
r908,78.6795872,253.553405
r909,150.002475,95.700286
r910,48.2490507,435.081404
r911,109.978029,314.631235
r912,98.602668,126.971099
r913,247.32938,355.228612
r914,238.537979,177.203706
r915,202.986732,392.411855
r916,201.93798,77.3453951
r917,259.6378,399.305818
r918,159.296337,398.98622
r919,71.1882035,380.770131
r920,52.0524556,243.397055
r921,210.147756,367.062874
r922,255.657401,412.741334
r923,255.69171,257.25308
r924,50.106434,185.695809
r925,168.388435,98.637905
r926,225.964833,391.069816
r927,53.4530086,118.225417
r928,107.979325,416.617263
r929,57.7112545,296.450394
r930,127.48156,87.003595
r931,136.609899,420.623025
r932,248.04873,85.229469
r933,237.140931,421.517515
r934,245.639528,293.985425
r935,205.638377,31.3575486
r936,42.1306366,197.610005
r937,23.8984231,104.899241
r938,100.042301,280.41997
r939,78.0447422,407.26932
r940,210.096972,262.263776
r941,139.132889,80.328589
r942,143.330982,173.33561
r943,37.3764509,42.3900127
r944,102.833384,68.5377043
r945,201.517986,324.787252
r946,112.428571,90.621573
r947,21.6610496,422.548594
r948,192.425415,45.3929454
r949,153.67264,428.859264
r950,36.8198304,226.719425
r951,103.475967,315.226865
r952,119.121333,324.009092
r953,94.797248,340.936527
r954,197.016312,389.359347
r955,113.201668,319.162695
r956,168.661827,122.903357
r957,169.649904,226.969594
r958,212.578959,338.212477
r959,176.976305,20.156861
r960,183.068748,55.2100673
r961,118.581158,346.164789
r962,179.180754,143.279511
r963,26.5082666,166.082208
r964,215.822952,292.629405
r965,38.010267,374.366051
r966,236.23167,49.0113729
r967,36.9985363,131.442134
r968,65.869612,318.334523
r969,206.46302,41.4489119
r970,68.7520409,160.901946
r971,116.903483,395.261062
r972,127.083351,115.772535
r973,165.510913,260.225025
r974,158.346978,100.239001
r975,34.281624,439.90056
r976,63.8396204,230.77685
r977,91.069199,364.424995
r978,110.258981,287.581309
r979,191.143026,378.174886
r980,50.0356606,308.584425
r981,123.016024,346.555972
r982,27.2904892,81.593094
r983,129.000481,134.712713
r984,210.633951,129.376861
r985,133.106359,169.323098
r986,76.7335066,129.59089
r987,232.888404,379.263002
r988,50.2286684,328.640885
r989,84.634736,378.811296
r990,231.789955,328.408326
